identifier,label,coupling,mean_first_order,mean_second_order,std_real_second_order,selected_scalar,increment_cv,radial_permutation_entropy,weak_record_in_released_residual_pair
audit-kuramoto-0-043,0,3.6601378299826086,0.9961034299941028,0.9844797486181798,0.6965947443152486,-0.29311305043260233,0.43545497568819336,0.583768474607735,False
audit-kuramoto-0-044,0,3.085936010622309,0.9974966669105517,0.9900123710189563,0.7001785567716137,-0.31512080484175936,0.43633483307829557,0.5979641006862313,False
audit-kuramoto-0-045,0,2.970532104541364,0.9977417556310824,0.9909825638354448,0.6990415937633557,-0.26500127846050503,0.43671812885880473,0.5692326648829826,False
audit-kuramoto-0-046,0,3.160403911675722,0.9975212264369462,0.9901153290515489,0.6978240312101265,-0.2756259493146574,0.4383356675641012,0.5774436899345989,False
audit-kuramoto-0-047,0,3.9535862911138766,0.9990261175828545,0.9961085032449052,0.7060787873519814,-0.2854688522323071,0.4412201150048192,0.5869929037332757,False
audit-kuramoto-0-048,0,3.895410241304258,0.9989701426893605,0.995885140542177,0.7035516016490996,-0.25978948474053076,0.4387042053404362,0.5688489193660402,False
audit-kuramoto-0-049,0,3.5182309473523956,0.9994576475209715,0.9978319560969915,0.7058425015708825,-0.30275886546915215,0.43123286567422664,0.5837116447277328,False
audit-kuramoto-0-050,0,3.8596993727139455,0.9988660830234206,0.9954694670787491,0.705312229213594,-0.28741388576765176,0.45065484036636305,0.6007119962583907,False
audit-kuramoto-0-051,0,3.443735218116851,0.9983610089085977,0.9934535087630763,0.6964736758003587,-0.32873677075438973,0.42017459632858994,0.5837116447277328,False
audit-kuramoto-0-052,0,3.4225497804099003,0.9995216233306334,0.9980878960061195,0.7079528961221633,-0.3338053049711987,0.43954925100880393,0.613729991344835,False
audit-kuramoto-0-053,0,2.9884978825765627,0.9988463591665158,0.99538875172502,0.7075605361297979,-0.28505991339190095,0.4390865161925441,0.5839155599365963,False
audit-kuramoto-0-054,0,3.591132670665223,0.9985250010462561,0.9941112471108748,0.7032828055216089,-0.28481002459108157,0.4384903482263711,0.5829770532739985,False
audit-kuramoto-0-055,0,3.6512550913518966,0.998114542203405,0.9924757157751414,0.7003387724595007,-0.32604659806318625,0.43580985384945753,0.6038058053402364,False
audit-kuramoto-0-056,0,3.6403703161156873,0.9963798218705407,0.9855833743062605,0.7022332349507406,-0.26293418922161715,0.4324068177130262,0.5624493257927946,False
audit-kuramoto-0-057,0,3.965109100084195,0.9988404991529625,0.9953661826593785,0.7043658852390355,-0.2909670455773081,0.43695376450706475,0.5845220084161916,False
audit-kuramoto-0-058,0,3.001730063638325,0.9950810066328338,0.980420070302592,0.6907267926951961,-0.32883694888376197,0.4415067077766094,0.6134079196088077,False
audit-kuramoto-0-059,0,2.9420379483293058,0.9975795392144097,0.990332231306788,0.6991565836450848,-0.3024686816067674,0.44647933355935526,0.6041737342222502,False
